"agea","gndr","eduyrs","cntry","nwspol","netusoft","netustm"
70,"Varón",20,"Austria",60,4,60
50,"Varón",12,"Austria",30,5,120
74,"Mujer",10,"Austria",60,5,120
49,"Mujer",9,"Austria",45,5,120
42,"Varón",9,"Austria",60,5,420
54,"Mujer",11,"Austria",15,5,150
49,"Mujer",17,"Austria",20,5,180
40,"Mujer",16,"Austria",20,5,225
54,"Mujer",12,"Austria",10,5,300
18,"Varón",12,"Austria",0,5,300
38,"Mujer",12,"Austria",20,5,20
65,"Mujer",9,"Austria",10,5,120
54,"Mujer",13,"Austria",5,5,90
48,"Mujer",20,"Austria",0,5,0
68,"Mujer",12,"Austria",60,4,15
61,"Varón",16,"Austria",60,5,30
57,"Mujer",12,"Austria",45,4,15
58,"Mujer",12,"Austria",30,5,15
42,"Mujer",20,"Austria",20,5,270
72,"Mujer",12,"Austria",10,5,60
20,"Mujer",9,"Austria",10,5,180
61,"Varón",14,"Austria",180,5,120
29,"Mujer",11,"Austria",60,5,180
58,"Varón",12,"Austria",30,4,60
31,"Varón",14,"Austria",120,5,180
77,"Varón",17,"Austria",60,5,120
39,"Varón",12,"Austria",2,5,180
38,"Varón",24,"Austria",60,5,240
57,"Varón",12,"Austria",70,5,10
71,"Mujer",8,"Austria",60,4,10
44,"Mujer",12,"Austria",0,5,150
52,"Mujer",11,"Austria",0,5,120
52,"Mujer",12,"Austria",60,5,120
35,"Mujer",16,"Austria",40,5,300
58,"Mujer",20,"Austria",90,5,60
55,"Mujer",13,"Austria",45,5,180
57,"Mujer",10,"Austria",5,5,150
34,"Mujer",17,"Austria",0,5,60
25,"Varón",12,"Austria",30,5,540
51,"Mujer",17,"Austria",10,5,600
46,"Varón",12,"Austria",5,5,120
57,"Mujer",12,"Austria",30,5,570
28,"Varón",11,"Austria",15,5,300
61,"Mujer",13,"Austria",45,5,180
40,"Mujer",11,"Austria",30,5,210
82,"Varón",12,"Austria",75,4,45
19,"Varón",13,"Austria",10,5,480
39,"Mujer",13,"Austria",10,5,240
76,"Varón",11,"Austria",90,5,240
68,"Mujer",12,"Austria",0,5,90
28,"Mujer",17,"Austria",30,5,180
61,"Varón",13,"Austria",60,5,30
43,"Mujer",18,"Austria",90,5,150
66,"Mujer",11,"Austria",5,5,60
72,"Mujer",11,"Austria",90,5,60
72,"Mujer",15,"Austria",90,5,120
23,"Mujer",9,"Austria",10,5,180
37,"Varón",9,"Austria",30,5,180
62,"Varón",12,"Austria",45,5,90
51,"Mujer",18,"Austria",30,4,90
51,"Mujer",16,"Austria",45,5,90
57,"Varón",15,"Austria",30,5,180
62,"Mujer",12,"Austria",90,5,30
49,"Mujer",12,"Austria",10,5,420
46,"Mujer",8,"Austria",0,5,90
51,"Mujer",12,"Austria",10,5,20
71,"Varón",12,"Austria",20,4,60
74,"Mujer",12,"Austria",30,5,180
47,"Mujer",19,"Austria",20,5,180
16,"Varón",10,"Austria",10,5,120
34,"Varón",13,"Austria",20,5,300
68,"Varón",12,"Austria",30,5,120
79,"Mujer",15,"Austria",60,4,30
26,"Varón",11,"Austria",30,5,300
21,"Mujer",12,"Austria",0,5,180
65,"Mujer",12,"Austria",60,5,60
29,"Mujer",17,"Austria",10,5,180
62,"Mujer",15,"Austria",90,5,120
63,"Mujer",18,"Austria",120,5,60
25,"Mujer",11,"Austria",15,5,240
80,"Mujer",20,"Austria",180,5,30
53,"Varón",9,"Austria",60,5,120
35,"Varón",12,"Austria",10,5,135
49,"Varón",16,"Austria",45,5,120
48,"Mujer",16,"Austria",10,5,210
42,"Mujer",13,"Austria",0,5,210
84,"Varón",12,"Austria",60,5,90
46,"Mujer",14,"Austria",35,5,225
45,"Mujer",13,"Austria",10,5,60
58,"Varón",12,"Austria",30,5,30
29,"Mujer",22,"Austria",30,5,540
65,"Mujer",12,"Austria",20,5,60
24,"Mujer",18,"Austria",60,5,480
53,"Varón",12,"Austria",10,5,120
37,"Mujer",16,"Austria",180,5,540
51,"Varón",9,"Austria",40,5,120
54,"Mujer",15,"Austria",10,4,50
33,"Mujer",14,"Austria",60,5,300
66,"Varón",9,"Austria",60,5,120
21,"Mujer",12,"Austria",0,5,240
36,"Mujer",12,"Austria",10,5,480
35,"Mujer",11,"Austria",20,5,420
66,"Mujer",11,"Austria",90,5,120
76,"Varón",11,"Austria",30,5,60
82,"Mujer",14,"Austria",10,5,60
33,"Mujer",11,"Austria",45,5,180
27,"Mujer",12,"Austria",30,5,390
69,"Mujer",14,"Austria",60,4,30
63,"Mujer",12,"Austria",30,5,120
44,"Mujer",12,"Austria",10,5,120
51,"Mujer",13,"Austria",90,5,210
47,"Varón",15,"Austria",15,5,240
41,"Mujer",12,"Austria",10,4,30
49,"Mujer",11,"Austria",45,5,120
23,"Mujer",12,"Austria",0,5,420
43,"Mujer",11,"Austria",120,4,60
78,"Mujer",11,"Austria",10,4,15
29,"Varón",11,"Austria",60,5,120
69,"Varón",12,"Austria",45,4,90
46,"Mujer",12,"Austria",10,5,120
54,"Mujer",12,"Austria",20,5,60
35,"Varón",12,"Austria",20,5,180
67,"Mujer",32,"Austria",60,5,120
42,"Varón",24,"Austria",120,5,480
33,"Varón",12,"Austria",90,5,600
45,"Mujer",14,"Austria",20,5,120
52,"Mujer",11,"Austria",90,5,120
41,"Mujer",13,"Austria",15,5,240
73,"Varón",12,"Austria",180,5,240
23,"Varón",13,"Austria",30,5,480
32,"Varón",11,"Austria",45,5,240
41,"Varón",16,"Austria",20,5,180
73,"Mujer",11,"Austria",30,5,600
29,"Varón",13,"Austria",0,5,90
16,"Varón",10,"Austria",10,5,180
25,"Varón",19,"Austria",20,5,360
49,"Varón",12,"Austria",30,5,210
78,"Mujer",12,"Austria",90,5,150
15,"Mujer",9,"Austria",5,5,180
76,"Mujer",13,"Austria",90,5,120
73,"Mujer",11,"Austria",30,5,30
34,"Mujer",14,"Austria",60,5,90
48,"Varón",11,"Austria",30,5,120
58,"Varón",15,"Austria",20,5,60
51,"Mujer",11,"Austria",90,5,180
67,"Varón",13,"Austria",45,5,120
64,"Varón",12,"Austria",60,4,60
65,"Varón",19,"Austria",90,5,270
71,"Mujer",15,"Austria",60,5,60
79,"Varón",11,"Austria",60,5,60
85,"Mujer",9,"Austria",120,5,30
27,"Mujer",11,"Austria",30,5,240
18,"Mujer",11,"Austria",60,5,120
46,"Varón",13,"Austria",2,5,480
39,"Mujer",12,"Austria",15,5,90
53,"Mujer",12,"Austria",30,5,30
19,"Mujer",13,"Austria",10,5,240
53,"Varón",12,"Austria",30,5,120
24,"Mujer",9,"Austria",10,5,120
28,"Varón",9,"Austria",15,5,120
33,"Varón",12,"Austria",60,5,300
63,"Mujer",21,"Austria",5,5,120
64,"Mujer",10,"Austria",30,4,10
